company_dunsum,product_count,top1_dunsnumber,top2_dunsnumber,top3_dunsnumber,top4_dunsnumber,top5_dunsnumber,top1_product_count,top2_product_count,top3_product_count,top4_product_count,top5_product_count,top1_jaccard_distance,top2_jaccard_distance,top3_jaccard_distance,top4_jaccard_distance,top5_jaccard_distance
188180587,3,42895367,2173375,38376674,51497972,3472451,2,2,2,3,3,0.3333333333,0.3333333333,0.3333333333,0.5,0.5
17448817,1,107584740,612539135,2163178,11478401,2300051,61,1,3,1,5,0.9836065574,1,1,1,1
69884849,2,147766141,620387790,64869993,94939824,2013522,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
144813057,2,25992104,626878706,6222857,808179477,2502953,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
155273758,2,93263168,964378459,103730974,2352425,65816597,1,2,10,16,19,0.5,0.6666666667,0.9090909091,0.9411764706,0.95
962254384,1,168317944,627061468,787939680,90790218,792997074,1,1,1,1,1,0,0,0,0,0
82254871,4,177960275,116286923,14872621,829046601,112787254,2,2,2,4,4,0.5,0.5,0.5,0.6666666667,0.6666666667
962515164,3,800609286,157392531,615381907,1903038,831737478,2,4,4,1,1,0.3333333333,0.6,0.6,0.6666666667,0.6666666667
72260032,1,122708683,55189732,160348731,118727283,605002732,1,1,1,1,1,0,0,0,0,0
612787515,3,607616914,1949684,622920353,837549708,625905062,4,1,1,1,1,0.6,0.6666666667,0.6666666667,0.6666666667,0.6666666667
962592424,1,78544034,796905896,828977319,373139427,876341272,1,1,1,1,1,0,0,0,0,0
803498638,1,612539135,2163178,11478401,2300051,878914340,1,3,1,5,3,1,1,1,1,1
618991413,1,800028230,784809993,161162995,803757913,166064238,1,1,1,1,1,0,0,0,0,0
